2^0,1.0296
2^1,2.39647
2^2,4.52563
2^3,9.79924
2^4,19.4413
2^5,15.9362
2^6,30.6691
2^7,81.6786
2^8,213.766
2^9,417.509
2^10,710.796
2^11,1189.29
2^12,1572.14
2^13,1802.81
2^14,3582.74
2^15,5627.58
2^16,7348.77
2^17,9095.37
2^18,9641.24
2^19,9014.13
2^20,7965.74
2^21,7101.16
2^22,8496.92
2^23,6719.57
2^24,4930.27
